,Planet,Earth_Masses,Temperature_Kelvin,Year,Distance
1329,Kepler-188 b,47.67,1741.5,2014,3918.194
1330,Kepler-188 c,90.573,1220.1,2014,3918.194
1331,Kepler-189 b,34.3224,715.8,2014,2120.1084
1332,Kepler-189 c,67.3736,574.3,2014,2120.1084
1334,Kepler-190 b,44.1742,1241.2,2014,1533.178
1335,Kepler-190 c,41.314,1008.8,2014,1533.178
1336,Kepler-191 b,38.136,752.1,2014,2217.8758
1337,Kepler-191 c,52.7548,620,2014,2217.8758
1338,Kepler-191 d,64.5134,917.7,2016,2217.8758
1339,Kepler-192 b,77.5432,881.7,2014,2227.884
1340,Kepler-192 c,79.1322,684.4,2014,2227.884
1341,Kepler-193 b,67.6914,1039.3,2014,4243.4442
1342,Kepler-193 c,77.861,631.8,2014,4243.4442
1343,Kepler-194 b,42.903,1661.1,2014,4022.351
1344,Kepler-194 c,73.4118,821.3,2014,4022.351
1345,Kepler-194 d,68.0092,566.3,2014,4022.351
1346,Kepler-195 b,57.5218,798.3,2014,2222.5702
1347,Kepler-195 c,43.8564,498.6,2014,2222.5702
1348,Kepler-196 b,54.026,568.8,2014,1535.1992
1349,Kepler-196 c,63.56,431.8,2014,1535.1992
1350,Kepler-197 b,28.9198,1233.2,2014,1023.2162
1351,Kepler-197 c,34.958,1004.9,2014,1023.2162
1352,Kepler-197 d,34.6402,875,2014,1023.2162
1353,Kepler-197 e,25.7418,746.8,2014,1023.2162
1354,Kepler-198 b,80.0856,713.5,2014,1684.7028
1355,Kepler-198 c,69.916,507,2014,1684.7028
1356,Kepler-198 d,43.2208,1722.1,2016,1684.7028
1357,Kepler-199 b,88.0306,666.5,2014,1775.2656
1358,Kepler-199 c,92.162,470.7,2014,1775.2656
1359,Kepler-20 b,8.5806,1202.1,2011,945.4
1360,Kepler-20 c,15.5722,839.4,2011,945.4
1361,Kepler-20 d,7.6272,435.7,2011,945.4
1362,Kepler-20 e,24.4706,1017.3,2011,945.4
1363,Kepler-20 f,29.2376,689.6,2011,945.4
1364,Kepler-200 b,60.382,928.2,2014,2098.1034
1365,Kepler-200 c,45.1276,876.1,2014,2098.1034
1366,Kepler-201 b,69.5982,785.5,2014,1984.6228
1367,Kepler-201 c,80.7212,434.3,2014,1984.6228
1368,Kepler-202 b,46.081,823,2014,951.594
1369,Kepler-202 c,52.437,518.4,2014,951.594
1370,Kepler-203 b,72.7762,1442.5,2014,2608.2282
1371,Kepler-203 c,69.916,1209.1,2014,2608.2282
1372,Kepler-203 d,40.6784,942.8,2014,2608.2282
1373,Kepler-204 b,71.8228,916.1,2014,2785.0506
1374,Kepler-204 c,50.848,755.6,2014,2785.0506
1375,Kepler-205 b,42.903,784.9,2014,563.9148
1376,Kepler-205 c,46.3988,403.3,2014,563.9148
1377,Kepler-206 b,34.0046,1091.2,2014,2155.9032
1378,Kepler-206 c,50.2124,916.5,2014,2155.9032
1379,Kepler-206 d,33.6868,755.6,2014,2155.9032
1380,Kepler-207 b,44.492,2192.8,2014,2651.8796
1381,Kepler-207 c,42.5852,1768.7,2014,2651.8796
1382,Kepler-207 d,93.751,1425.4,2014,2651.8796
1383,Kepler-208 b,46.081,1488.3,2014,3017.0322
1384,Kepler-208 c,39.4072,1231.4,2014,3017.0322
1385,Kepler-208 d,34.0046,1077.9,2014,3017.0322
1386,Kepler-208 e,41.9496,950,2014,3017.0322
1387,Kepler-209 b,64.1956,727.8,2014,1971.7458
1388,Kepler-209 c,88.0306,529.6,2014,1971.7458
1389,Kepler-21 b,46.3988,1950.5,2011,368.054
1390,Kepler-210 b,83.2636,939.2,2014,864.389
1391,Kepler-210 c,102.6494,634.1,2014,864.389
1392,Kepler-211 b,35.5936,993.4,2014,1069.0518
1393,Kepler-211 c,36.547,875.8,2014,1069.0518
1394,Kepler-212 b,30.8266,960.3,2014,2369.9222
1395,Kepler-212 c,77.5432,767.8,2014,2369.9222
1396,Kepler-213 b,46.081,1589.2,2014,2289.661
1397,Kepler-213 c,66.4202,1270.1,2014,2289.661
1398,Kepler-214 b,74.0474,988.1,2014,3490.3516
1399,Kepler-214 c,60.382,806.7,2014,3490.3516
1400,Kepler-215 b,46.081,951.1,2014,1936.0162
1401,Kepler-215 c,50.2124,818.9,2014,1936.0162
1402,Kepler-215 d,67.6914,639,2014,1936.0162
1403,Kepler-215 e,49.5768,490.7,2014,1936.0162
1404,Kepler-216 b,66.738,1193.6,2014,3243.4718
1405,Kepler-216 c,86.1238,909.2,2014,3243.4718
1406,Kepler-217 b,63.2422,1628.5,2014,3437.2136
1407,Kepler-217 c,52.437,1393.1,2014,3437.2136
1408,Kepler-218 b,41.9496,1273.3,2014,2201.0868
1409,Kepler-218 c,88.984,550.9,2014,2201.0868
1410,Kepler-219 b,83.5814,1465.6,2014,3109.551
1411,Kepler-219 c,101.3782,859.8,2014,3109.551
1412,Kepler-219 d,79.7678,670.4,2014,3109.551
1413,Kepler-22 b,67.6914,285.8,2011,586.8
1414,Kepler-220 b,22.8816,810.1,2014,679.3188
1415,Kepler-220 c,44.492,625.5,2014,679.3188
1416,Kepler-220 d,27.6486,428.4,2014,679.3188
1417,Kepler-220 e,37.8182,363.9,2014,679.3188
1418,Kepler-221 b,48.6234,1162.2,2014,1396.258
1419,Kepler-221 c,82.9458,917.1,2014,1396.258
1420,Kepler-221 d,77.5432,758.9,2014,1396.258
1421,Kepler-221 e,74.683,620.5,2014,1396.258
1422,Kepler-222 b,89.6196,1105.4,2014,2906.453
1423,Kepler-222 c,131.5692,807.8,2014,2906.453
1424,Kepler-222 d,104.5562,574.3,2014,2906.453
1425,Kepler-223 b,47.9878,1040.4,2014,4456.257
1426,Kepler-223 c,56.5684,945.2,2014,4456.257
1427,Kepler-223 d,84.5348,825.4,2014,4456.257
1428,Kepler-223 e,68.0092,749.8,2014,4456.257
1429,Kepler-224 b,39.4072,971.8,2014,2520.4038
1430,Kepler-224 c,88.3484,785.8,2014,2520.4038
1431,Kepler-224 d,65.149,632.7,2014,2520.4038
1432,Kepler-224 e,55.9328,536.2,2014,2520.4038
1433,Kepler-225 b,34.0046,465.5,2014,1115.5068
1434,Kepler-225 c,52.1192,330.7,2014,1115.5068
1435,Kepler-226 b,43.8564,1088.6,2014,3318.191
