,Planet,Earth_Masses,Temperature_Kelvin,Year,Distance
157,HD 121504 b,388.3516,476.6,2003,144.6462
158,HD 125595 b,13.3476,845.5,2009,89.324
159,HD 125612 b,975.0104,336.9,2007,172.1932
160,HD 125612 c,18.4324,1492.1,2009,172.1932
161,HD 12648 b,921.3022,978.7,2015,516.384
162,HD 12661 b,743.9698,395.9,2000,121.1416
163,HD 12661 c,619.3922,170.1,2002,121.1416
164,HD 126614 A b,122.6708,240,2010,236.676
165,HD 128311 b,463.0346,216.7,2002,54.116
166,HD 128311 c,1032.2144,157.7,2005,54.116
167,HD 130322 b,331.4654,853.9,1999,97.8
168,HD 131496 b,712.1898,381.7,2011,358.6
170,HD 13189 b,2263.6894,1243.6,2005,603.1
171,HD 132563 B b,474.1576,222.6,2011,312.96
172,HD 134987 b,496.7214,380.2,1999,72.372
173,HD 134987 c,255.829,132.2,2009,72.372
174,HD 136418 b,633.3754,478.6,2010,320.132
175,HD 137388 b,72.4584,331.2,2011,123.88
176,HD 13908 b,274.897,1017.6,2013,232.438
177,HD 13908 c,1630.314,291.3,2013,232.438
178,HD 13931 b,597.7818,138.4,2010,144.092
179,HD 139357 b,3201.835,434.5,2009,385.332
180,HD 141937 b,3011.155,309,2002,109.0796
181,HD 142245 b,600.642,299.9,2011,355.34
182,HD 142415 b,528.1836,413.4,2003,111.492
183,HD 145377 b,1837.5196,522.1,2008,179.3
184,HD 145457 b,944.5016,861.3,2010,410.76
185,HD 1461 b,7.6272,1261.7,2009,76.284
186,HD 147018 b,675.9606,755.5,2009,140.0496
187,HD 147018 c,2095.5732,208.5,2009,140.0496
188,HD 148156 b,269.4944,295.6,2009,172.943
189,HD 148427 b,363.5632,507.2,2009,193.318
190,HD 149026 b,114.408,1672.6,2005,257.214
191,HD 149143 b,422.0384,1624.7,2005,205.38
192,HD 1502 b,923.8446,475.8,2011,518.34
193,HD 152581 b,481.1492,397.5,2011,606.36
194,HD 153950 b,871.4076,342,2008,161.37
195,HD 154345 b,304.1346,131.4,2006,58.8756
196,HD 154672 b,1590.9068,653.8,2008,214.508
197,HD 154857 b,714.4144,441.6,2004,209.292
198,HD 154857 c,819.6062,164.3,2014,209.292
199,HD 155233 b,633.6932,331.9,2015,244.826
200,HD 155358 b,260.2782,471.3,2007,140.18
201,HD 155358 c,256.4646,370.8,2007,140.18
202,HD 156279 b,3109.673,677.2,2011,119.316
203,HD 156411 b,232.9474,320.9,2009,179.626
204,HD 156668 b,4.1314,892.8,2010,79.87
205,HD 156846 b,3498.3424,900.9,2008,159.74
206,HD 158038 b,570.1332,527.5,2011,335.78
207,HD 159243 b,359.114,950,2013,225.592
208,HD 159243 c,603.82,362.1,2013,225.592
209,HD 159868 b,699.16,241.7,2007,171.802
210,HD 159868 c,231.994,390.1,2012,171.802
211,HD 1605 b,307.9482,382,2015,275.796
212,HD 1605 c,1113.2534,250.7,2015,275.796
213,HD 16175 b,1391.6462,348.4,2007,194.948
214,HD 162020 b,4835.0092,724.4,2002,101.9076
215,HD 163607 b,244.3882,1117.6,2011,224.94
216,HD 163607 c,728.3976,238.6,2011,224.94
217,HD 16417 b,21.2926,1028.3,2009,83.13
218,HD 164509 b,152.544,364.1,2011,169.52
219,HD 164922 b,113.7724,174.3,2006,71.4918
220,HD 1666 b,2056.4838,718.5,2015,360.556
221,HD 167042 b,520.2386,458.5,2007,163.7498
222,HD 168443 b,2446.1066,896.8,1998,121.8588
223,HD 168443 c,5525.2708,222.5,2001,121.8588
224,HD 168746 b,77.861,1045,2002,140.5712
225,HD 1690 b,2073.9628,1382,2010,1039.94
226,HD 169830 b,918.1242,537.7,2000,118.4032
227,HD 169830 c,1291.5392,259.3,2003,118.4032
228,HD 170469 b,212.6082,219.5,2007,211.8022
229,HD 17092 b,1576.9236,737.4,2007,355.34
230,HD 171028 b,631.7864,544.4,2007,293.4
231,HD 171238 b,829.1402,218.7,2009,163.9128
232,HD 17156 b,1048.74,1579.1,2007,255.0624
233,HD 173416 b,863.7804,893.7,2009,440.1
234,HD 175541 b,167.7984,538.5,2007,417.28
235,HD 178911 B b,2317.0798,467.5,2001,152.3398
236,HD 179079 b,26.6952,981.1,2009,207.6294
237,HD 179949 b,286.6556,1589.1,2000,88.02
238,HD 180314 b,7190.5428,619.6,2010,430.32
239,HD 180902 b,497.0392,425.3,2010,358.6
240,HD 181342 b,1000.7522,432,2010,360.556
241,HD 181433 b,7.6272,1092.2,2008,85.249
242,HD 181433 c,203.392,213.6,2008,85.249
243,HD 181433 d,170.023,191.6,2008,85.249
244,HD 181720 b,118.2216,266.1,2009,182.56
245,HD 183263 b,1135.8172,309,2004,179.626
246,HD 183263 c,1104.6728,167.3,2008,179.626
247,HD 185269 b,303.1812,1998.4,2006,163.9128
248,HD 187085 b,255.5112,323.6,2006,146.6348
249,HD 187123 b,162.078,1468.4,1998,157.458
250,HD 187123 c,617.1676,157.7,2007,157.458
251,HD 18742 b,910.1792,434,2011,440.1
252,HD 190647 b,604.7734,248.3,2007,176.692
253,HD 192263 b,203.0742,542.8,1999,64.874
254,HD 192699 b,728.3976,476.4,2007,213.856
255,HD 197037 b,256.4646,244.3,2012,105.298
256,HD 200964 b,619.3922,380.3,2010,222.984
257,HD 200964 c,300.6388,373.1,2010,222.984
258,HD 202206 b,5346.6672,409.1,2002,151.0684
259,HD 202206 c,740.7918,205.1,2004,151.0684
260,HD 2039 b,1882.965,387.5,2002,292.748
261,HD 204313 b,1112.6178,191.8,2009,154.4262
262,HD 204313 d,510.3868,164.6,2012,154.4262
263,HD 204941 b,84.8526,177.2,2011,88.02
264,HD 205739 b,472.5686,445.6,2008,294.378
265,HD 206610 b,626.3838,476.7,2010,632.44
266,HD 20782 b,603.82,1457.4,2006,115.6974
267,HD 207832 b,179.2392,371.2,2012,177.344
268,HD 207832 c,231.994,210.5,2012,177.344
269,HD 20794 b,2.5424,830.1,2011,19.7556
270,HD 20794 c,2.2246,639.2,2011,19.7556
271,HD 20794 d,4.767,487.7,2011,19.7556
272,HD 208487 b,162.7136,510.7,2004,146.7
273,HD 208527 b,3182.4492,896.9,2012,1043.852
274,HD 20868 b,638.4602,510.7,2008,150.612
275,HD 209458 b,218.9642,1446,1999,153.22
276,HD 210277 b,404.5594,337.2,1998,69.4054
277,HD 210702 b,592.697,515.6,2007,178.974
278,HD 212771 b,858.06,482.8,2010,427.06
279,HD 215497 b,6.6738,1310.8,2009,143.44
280,HD 215497 c,104.2384,320.7,2009,143.44
281,HD 216437 b,688.9904,253.6,2002,86.39
283,HD 216770 b,205.6166,497.5,2003,123.88
284,HD 217107 b,445.2378,1315.9,1998,64.7436
285,HD 217107 c,831.047,209.9,2005,64.7436
286,HD 217786 b,4190.8286,258.2,2010,178.974
287,HD 218566 b,67.6914,257.5,2010,93.073
288,HD 219828 b,19.7036,1516.5,2007,264.386
289,HD 220074 b,3555.5464,1196.1,2012,946.052
290,HD 220773 b,460.81,213.9,2012,159.74
291,HD 221287 b,989.947,297.6,2007,172.454
292,HD 222155 b,643.8628,172.9,2012,160.066
293,HD 224693 b,227.227,736.4,2006,306.44
294,HD 22781 b,4398.352,447.5,2011,103.6354
295,HD 23079 b,776.3854,257.4,2001,113.448
296,HD 23127 b,446.509,299.2,2007,290.466
297,HD 231701 b,345.4486,471.6,2007,353.384
298,HD 23596 b,2460.7254,279.8,2002,169.52
299,HD 240210 b,2316.4442,807.3,2009,466.18
300,HD 24040 b,1278.1916,139.4,2006,151.916
301,HD 24064 b,3003.8456,1313,2015,861.944
302,HD 25171 b,303.8168,183.9,2010,179.3
303,HD 2638 b,151.5906,1282,2005,175.0946
304,HD 27894 b,196.4004,756.3,2005,138.1262
305,HD 28185 b,1842.2866,277.5,2001,128.444
306,HD 28254 b,368.9658,535.4,2009,183.212
307,HD 285507 b,291.4226,758,2013,134.76514
308,HD 28678 b,603.82,585.8,2011,740.02
309,HD 290327 b,809.7544,150.5,2009,178.974
310,HD 2952 b,514.836,763.6,2013,374.9
311,HD 30177 b,3078.8464,169.8,2002,179.3
312,HD 30562 b,423.6274,450.4,2009,86.39
313,HD 30856 b,590.1546,421.6,2011,384.68
314,HD 31253 b,159.2178,392.5,2010,163.978
315,HD 32518 b,1063.041,1420,2009,393.156
316,HD 32963 b,222.46,139.8,2015,118.6314
317,HD 330075 b,198.3072,1342.2,2004,163.652
318,HD 33142 b,448.4158,515.1,2011,410.76
319,HD 33283 b,104.874,1267.8,2006,280.36
320,HD 33844 b,622.888,462.9,2015,328.934
321,HD 33844 c,562.1882,386.3,2015,328.934
322,HD 34445 b,251.3798,270.4,2010,151.59
323,HD 3651 b,72.7762,705.2,2003,35.86
324,HD 37124 b,214.1972,328,1999,107.58
325,HD 37124 c,205.9344,190.5,2005,107.58
326,HD 37124 d,218.3286,151.8,2003,107.58
327,HD 37605 b,890.4756,831,2004,139.854
328,HD 37605 c,1069.7148,129.6,2012,139.854
329,HD 38283 b,107.4164,456.4,2011,122.902
330,HD 38801 b,3181.178,299.1,2010,324.044
331,HD 39091 b,3205.9664,280.5,2001,59.7232
332,HD 40307 b,4.1314,1015.1,2008,41.728
333,HD 40307 c,6.6738,776.9,2008,41.728
334,HD 40307 d,8.8984,604.1,2008,41.728
335,HD 4113 b,523.7344,809,2007,143.44
336,HD 4203 b,661.6596,395.1,2001,253.6932
337,HD 4208 b,256.4646,201.9,2001,110.514
338,HD 4308 b,15.2544,721.3,2005,71.394
339,HD 4313 b,690.2616,465.9,2010,446.62
340,HD 43197 b,189.7266,735.4,2009,178.974
341,HD 43691 b,793.5466,760.3,2007,303.832
342,HD 44219 b,187.1842,475.9,2009,164.4018
343,HD 45350 b,583.4808,447.7,2004,159.74
344,HD 45364 b,59.4286,352.3,2009,106.276
345,HD 45364 c,209.4302,294.6,2009,106.276
346,HD 45652 b,148.7304,725.8,2008,117.36
347,HD 47186 b,22.5638,1329,2008,123.3584
348,HD 47186 c,110.5944,217.3,2008,123.3584
349,HD 4732 b,755.4106,553.1,2012,184.19
350,HD 4732 c,751.597,299.3,2012,184.19
351,HD 49674 b,32.4156,1127.6,2002,132.682
352,HD 50499 b,554.561,187.3,2005,154.0676
353,HD 50554 b,1398.0022,285.3,2002,101.1578
354,HD 52265 b,340.3638,585.3,2000,91.606
355,HD 5319 b,560.917,366.7,2007,371.64
356,HD 5319 c,365.47,353.5,2014,371.64
357,HD 5608 b,468.4372,437.9,2012,183.864
358,HD 5891 b,1661.4584,1038.2,2011,818.26
359,HD 60532 b,328.923,609.4,2008,83.782
360,HD 60532 c,782.7414,362.1,2008,83.782
361,HD 63454 b,122.353,1319.2,2005,116.708
362,HD 63765 b,204.6632,305.9,2009,106.276
363,HD 6434 b,126.1666,734.1,2000,134.964
364,HD 65216 b,386.4448,285.5,2003,111.818
365,HD 66428 b,873.95,211.7,2006,178.974
366,HD 67087 b,984.5444,400.9,2015,289.488
367,HD 6718 b,495.4502,151.5,2009,182.234
368,HD 68988 b,572.04,1229.5,2001,189.08
369,HD 69830 b,10.1696,935.2,2006,41.076
370,HD 69830 c,11.7586,618.3,2006,41.076
371,HD 69830 d,17.7968,324.8,2006,41.076
372,HD 70642 b,606.6802,159.4,2003,93.888
373,HD 7199 b,93.751,261.4,2011,117.36
374,HD 72659 b,1008.6972,171.8,2002,162.348
375,HD 73256 b,593.9682,1579.6,2003,118.99
376,HD 73267 b,973.4214,216.5,2008,176.692
377,HD 73526 b,907.6368,448.8,2002,322.74
378,HD 73526 c,769.3938,345.4,2006,322.74
379,HD 73534 b,339.4104,239.9,2009,316.1874
380,HD 74156 b,563.4594,1033.1,2003,209.944
381,HD 74156 c,2620.8966,218.2,2003,209.944
382,HD 7449 b,417.2714,436.8,2011,126.814
383,HD 75784 b,1779.68,211.8,2014,223.962
384,HD 75898 b,799.267,348.9,2007,262.6908
385,HD 76700 b,73.7296,1412.4,2002,194.622
386,HD 77338 b,15.89,1029.1,2012,132.845
387,HD 7924 b,8.5806,955.6,2009,54.8332
388,HD 7924 c,7.945,690.1,2015,54.8332
389,HD 7924 d,6.356,630.7,2015,54.8332
390,HD 79498 b,427.7588,259.4,2012,159.74
391,HD 80606 b,1236.242,1547.9,2001,190.384
392,HD 81040 b,2185.5106,274.9,2005,106.1456
393,HD 81688 b,855.1998,1161.1,2008,279.708
394,HD 82886 b,414.729,397.3,2011,407.5
395,HD 82943 b,504.9842,311.7,2003,89.5196
396,HD 82943 c,504.9842,463.6,2003,89.5196
397,HD 83443 b,125.8488,1277.3,2002,141.9404
398,HD 8535 b,216.7396,209.7,2009,171.15
399,HD 85390 b,41.9496,258.1,2009,110.7096
400,HD 85512 b,3.4958,443.5,2011,36.349
401,HD 8574 b,573.9468,476.9,2003,144.092
402,HD 86081 b,475.4288,1710.2,2006,296.66
403,HD 86264 b,2106.0606,404.5,2009,236.676
404,HD 87883 b,558.0568,162.7,2009,59.006
405,HD 88133 b,94.0688,1812,2004,242.87
406,HD 89307 b,569.1798,188.7,2004,100.734
407,HD 90156 b,18.1146,623.9,2009,129.096
408,HD 92788 b,1132.6392,318.9,2000,106.9932
409,HD 93083 b,116.9504,403.2,2005,94.214
410,HD 9446 b,222.1422,688.4,2010,172.78
411,HD 9446 c,576.807,341.6,2010,172.78
412,HD 95089 b,358.7962,460,2010,453.14
413,HD 95127 b,1600.4408,852,2015,1066.02
415,HD 96063 b,362.9276,448.7,2011,515.08
416,HD 96127 b,1273.4246,967.3,2011,1574.58
417,HD 96167 b,217.693,626.7,2009,273.84
418,HD 97658 b,7.945,757.9,2010,68.8186
419,HD 98219 b,675.0072,363.4,2011,436.84
420,HD 99109 b,160.1712,249.7,2006,197.23
421,HD 99706 b,445.8734,470.5,2011,420.54
422,HIP 116454 b,11.7586,831.2,2014,179.952
423,HIP 14810 b,1231.1572,1247,2006,172.454
424,HIP 14810 c,405.195,447.1,2006,172.454
425,HIP 14810 d,184.6418,242.1,2009,172.454
426,HIP 5158 b,453.1828,363.9,2009,146.7
427,HIP 57050 b,94.7044,306.7,2010,35.86
428,HIP 57274 b,11.7586,766.3,2011,84.4992
429,HIP 57274 c,130.298,448.9,2011,84.4992
430,HIP 57274 d,168.1162,215.2,2011,84.4992
431,HIP 67851 b,450.6404,888,2014,215.16
432,HIP 91258 b,339.4104,1131.6,2013,146.374
433,HIP 97233 b,6307.3766,562,2014,345.56
435,KELT-3 b,462.0812,1821.3,2012,580.28
436,KELT-6 b,136.9718,1485.9,2013,723.72
437,KELT-7 b,401.6992,2049.9,2015,420.54
438,Kepler-10 b,4.4492,2153.7,2011,563.98
439,Kepler-10 c,16.8434,569.5,2011,563.98
440,Kepler-100 c,62.2888,1033.8,2014,966.916
451,Kepler-101 b,166.5272,1633.9,2014,3228.8344
452,Kepler-101 c,37.8182,1361.3,2014,3228.8344
464,Kepler-102 b,13.3476,866,2014,388.918
465,Kepler-102 d,4.1314,693.1,2014,388.918
466,Kepler-102 e,9.534,596.9,2014,388.918
467,Kepler-102 f,8.5806,500.1,2014,388.918
478,Kepler-103 b,9.534,946.3,2014,1554.368
479,Kepler-103 c,145.8702,422.3,2014,1554.368
490,Kepler-104 c,88.6662,796.2,2014,1600.66
491,Kepler-104 d,101.3782,613.4,2014,1600.66
503,Kepler-105 c,45.7632,1132.9,2014,1592.347
515,Kepler-106 b,23.1994,1122.9,2014,1479.714
516,Kepler-106 c,70.8694,863.2,2014,1479.714
517,Kepler-106 e,72.4584,583.9,2014,1479.714
529,Kepler-107 b,44.1742,1628.9,2014,1671.2716
530,Kepler-107 c,51.1658,1410.1,2014,1671.2716
531,Kepler-107 d,30.191,1199.7,2014,1671.2716
532,Kepler-107 e,97.8824,976.7,2014,1671.2716
544,Kepler-108 b,245.3416,815.3,2014,2806.7948
545,Kepler-108 c,231.994,519.3,2014,2806.7948
557,Kepler-109 b,67.0558,1255.8,2014,1526.006
558,Kepler-109 c,71.505,845.7,2014,1526.006
570,Kepler-11 b,50.848,953.5,2011,1999.041095
571,Kepler-11 c,81.3568,873.2,2011,1999.041095
572,Kepler-11 d,6.0382,717.5,2011,1999.041095
573,Kepler-11 e,118.5394,653,2011,1999.041095
574,Kepler-11 f,70.5516,566.8,2011,1999.041095
575,Kepler-11 g,94.3866,419.7,2011,1999.041095
576,Kepler-110 b,51.8014,943.9,2014,1735.6892
577,Kepler-110 c,62.6066,695.6,2014,1735.6892
588,Kepler-111 b,44.8098,1475.8,2014,2252.7904
589,Kepler-111 c,206.8878,362.9,2014,2252.7904
600,Kepler-112 b,67.0558,861.7,2014,1615.493
601,Kepler-112 c,68.0092,573.1,2014,1615.493
613,Kepler-113 b,51.4836,844,2014,834.234
624,Kepler-114 b,35.5936,748.7,2014,870.6482
636,Kepler-115 b,30.8266,1688.6,2014,2302.0164
637,Kepler-115 c,73.7296,1087.8,2014,2302.0164
649,Kepler-116 b,96.929,1407.1,2014,3343.8472
650,Kepler-116 c,65.149,1083.6,2014,3343.8472
661,Kepler-117 b,221.5066,969.8,2014,4661.8
662,Kepler-117 c,320.3424,696.3,2014,4661.8
673,Kepler-118 b,55.615,970.4,2014,2931.9788
674,Kepler-118 c,217.693,698.4,2014,2931.9788
685,Kepler-119 b,102.0138,1315.2,2014,2033.3924
686,Kepler-119 c,26.0596,1101.3,2014,2033.3924
697,Kepler-12 b,137.2896,1480.4,2011,1956
698,Kepler-120 b,61.0176,558.2,2014,872.8324
699,Kepler-120 c,43.2208,441.1,2014,872.8324
710,Kepler-121 b,66.4202,1042.4,2014,1902.536
711,Kepler-121 c,64.5134,444.4,2014,1902.536
722,Kepler-122 b,66.4202,1282.2,2014,3463.424
723,Kepler-122 c,166.5272,991.6,2014,3463.424
724,Kepler-122 d,62.2888,825.8,2014,3463.424
725,Kepler-122 e,73.7296,683.9,2014,3463.424
736,Kepler-123 b,83.2636,913.4,2014,3347.368
737,Kepler-123 c,41.9496,789.4,2014,3347.368
748,Kepler-124 b,20.657,910.1,2014,1169.688
749,Kepler-124 c,49.5768,570.8,2014,1169.688
750,Kepler-124 d,31.4622,436.3,2014,1169.688
762,Kepler-125 b,67.0558,584,2014,729.751
763,Kepler-125 c,20.9748,523.7,2014,729.751
776,Kepler-126 b,43.2208,1144.4,2014,732.4894
777,Kepler-126 c,44.8098,896,2014,732.4894
778,Kepler-126 d,70.8694,539.3,2014,732.4894
789,Kepler-127 b,39.725,1007.5,2014,1105.0748
790,Kepler-127 c,75.3186,794.9,2014,1105.0748
791,Kepler-127 d,75.0008,672.1,2014,1105.0748
812,Kepler-129 b,67.0558,1015.4,2014,1313.1606
813,Kepler-129 c,72.1406,585.9,2014,1313.1606
824,Kepler-130 b,28.9198,1056.6,2014,868.4314
825,Kepler-130 d,46.3988,484.9,2014,868.4314
836,Kepler-131 b,15.89,785,2014,737.738
837,Kepler-131 c,16.8434,673.2,2014,737.738
849,Kepler-132 b,34.3224,1223.7,2014,1079.3208
850,Kepler-132 c,36.2292,1208.5,2014,1079.3208
851,Kepler-132 d,43.8564,856.6,2014,1079.3208
863,Kepler-133 b,49.8946,1173.6,2014,1915.5434
864,Kepler-133 c,80.4034,747.1,2014,1915.5434
876,Kepler-134 b,56.5684,1281.1,2014,1351.1722
877,Kepler-134 c,35.5936,1034.3,2014,1351.1722
888,Kepler-135 b,51.1658,1304.1,2014,1829.8054
889,Kepler-135 c,32.7334,1051.5,2014,1829.8054
901,Kepler-136 b,58.1574,1093.2,2014,1758.9982
902,Kepler-136 c,56.5684,973.5,2014,1758.9982
914,Kepler-137 b,41.6318,786.4,2014,941.162
915,Kepler-137 c,53.3904,602.8,2014,941.162
928,Kepler-138 b,14.9366,450.7,2014,371.8682
942,Kepler-139 b,83.2636,876.5,2014,1553.2922
943,Kepler-139 c,95.9756,407.4,2014,1553.2922
955,Kepler-14 b,2671.4268,1581.3,2011,3194.8
956,Kepler-140 b,45.7632,1604,2014,2080.4342
957,Kepler-140 c,51.1658,527.8,2014,2080.4342
968,Kepler-141 b,19.7036,1028.7,2014,1021.8796
969,Kepler-141 c,40.0428,784.4,2014,1021.8796
980,Kepler-142 b,56.5684,1777,2014,2046.8236
981,Kepler-142 c,81.039,1336.2,2014,2046.8236
982,Kepler-142 d,61.3354,647.7,2014,2046.8236
993,Kepler-143 b,68.327,932.3,2014,2903.3234
994,Kepler-143 c,95.6578,782.4,2014,2903.3234
1005,Kepler-144 b,37.8182,1288.7,2014,1255.5238
1006,Kepler-144 c,38.136,1076.2,2014,1255.5238
1027,Kepler-146 b,105.1918,716,2014,2754.6674
1028,Kepler-146 c,88.6662,530.2,2014,2754.6674
1041,Kepler-147 b,43.2208,1078.5,2014,3607.679
1042,Kepler-147 c,68.9626,779.4,2014,3607.679
1053,Kepler-148 b,51.1658,1396.4,2014,3047.4806
1054,Kepler-148 c,102.0138,1040.5,2014,3047.4806
1065,Kepler-149 b,119.4928,587.9,2014,1917.2712
1066,Kepler-149 c,45.7632,475.1,2014,1917.2712
1067,Kepler-149 d,112.1834,333.5,2014,1917.2712
1079,Kepler-150 b,35.5936,1231.5,2014,3173.0558
1080,Kepler-150 c,104.5562,953.6,2014,3173.0558
1081,Kepler-150 d,79.1322,798.8,2014,3173.0558
1082,Kepler-150 e,88.3484,592.2,2014,3173.0558
1093,Kepler-151 b,86.7594,691.6,2014,2448.6512
1094,Kepler-151 c,59.1108,588.9,2014,2448.6512
1105,Kepler-152 b,79.1322,567.1,2014,1487.6358
1106,Kepler-152 c,67.6914,335.1,2014,1487.6358
1117,Kepler-153 b,82.9458,660.7,2014,2041.086
1118,Kepler-153 c,71.8228,487.8,2014,2041.086
1130,Kepler-154 b,64.1956,611.4,2014,2878.1888
1131,Kepler-154 c,83.5814,494.9,2014,2878.1888
1132,Kepler-154 d,109.0054,730,2016,2878.1888
1133,Kepler-154 e,42.5852,1266.7,2016,2878.1888
1134,Kepler-154 f,42.5852,930.6,2016,2878.1888
1148,Kepler-155 b,59.1108,675.8,2014,985.4328
1149,Kepler-155 c,63.56,326.4,2014,985.4328
1160,Kepler-156 b,65.149,923.9,2014,1574.1888
1161,Kepler-156 c,72.1406,627.1,2014,1574.1888
1172,Kepler-157 b,37.5004,1693,2014,2419.4416
1173,Kepler-157 c,63.56,853.1,2014,2419.4416
1184,Kepler-158 b,60.0642,492.3,2014,1127.4384
1185,Kepler-158 c,54.026,411.8,2014,1127.4384
1196,Kepler-159 b,67.3736,599.6,2014,1492.102
1197,Kepler-159 c,96.6112,368.8,2014,1492.102
1208,Kepler-160 b,43.5386,1166.3,2014,2800.6986
1209,Kepler-160 c,102.3316,793.2,2014,2800.6986
1220,Kepler-161 b,60.0642,923.7,2014,1579.7308
1221,Kepler-161 c,58.1574,818.9,2014,1579.7308
1232,Kepler-162 b,35.5936,1029.5,2014,2522.751
1233,Kepler-162 c,85.806,729.6,2014,2522.751
1244,Kepler-163 b,29.8732,960.8,2014,2572.0748
1245,Kepler-163 c,64.1956,687.2,2014,2572.0748
1256,Kepler-164 b,40.0428,1268.5,2014,3147.3018
1257,Kepler-164 c,77.5432,979.2,2014,3147.3018
1258,Kepler-164 d,69.5982,707.8,2014,3147.3018
1268,Kepler-165 b,65.7846,782.1,2014,2100.8418
1269,Kepler-165 c,63.2422,634.6,2014,2100.8418
1270,Kepler-166 b,64.5134,815.5,2014,2085.1612
1271,Kepler-166 c,67.3736,494.8,2014,2085.1612
1272,Kepler-167 b,40.9962,915.8,2014,1123.6568
1273,Kepler-167 c,38.7716,769.5,2014,1123.6568
1274,Kepler-168 b,41.314,1387.5,2014,4010.5824
1275,Kepler-168 c,76.272,964,2014,4010.5824
1276,Kepler-169 b,32.0978,1015.5,2014,1446.788
1277,Kepler-169 c,34.3224,819.1,2014,1446.788
1278,Kepler-169 d,35.5936,741.6,2014,1446.788
1279,Kepler-169 e,62.2888,627.7,2014,1446.788
1280,Kepler-169 f,73.094,339.4,2014,1446.788
1281,Kepler-17 b,787.1906,1744.9,2011,2608
1282,Kepler-170 b,90.573,998.5,2014,2770.4132
1283,Kepler-170 c,81.039,779.5,2014,2770.4132
1284,Kepler-171 b,66.4202,1106.8,2014,2785.4092
1285,Kepler-171 c,72.4584,789.9,2014,2785.4092
1286,Kepler-171 d,53.7082,522.6,2014,2785.4092
1287,Kepler-172 b,66.738,1384.7,2014,2939.7702
1288,Kepler-172 c,81.039,1069.1,2014,2939.7702
1289,Kepler-172 d,63.8778,811.2,2014,2939.7702
1290,Kepler-172 e,78.1788,605.8,2014,2939.7702
1291,Kepler-173 b,36.547,1248.7,2014,2639.4264
1292,Kepler-173 c,68.9626,1012.2,2014,2639.4264
1293,Kepler-174 b,55.615,550.6,2014,1174.0564
1294,Kepler-174 c,42.2674,375.7,2014,1174.0564
1295,Kepler-174 d,61.971,211.3,2014,1174.0564
1296,Kepler-175 b,72.4584,919.9,2014,3974.6898
1297,Kepler-175 c,88.0306,648.1,2014,3974.6898
1298,Kepler-176 b,40.6784,968.2,2014,2182.1136
1299,Kepler-176 c,73.7296,728.4,2014,2182.1136
1300,Kepler-176 d,71.1872,576.4,2014,2182.1136
1301,Kepler-178 b,82.3102,951.1,2014,3141.2708
1302,Kepler-178 c,81.6746,737.3,2014,3141.2708
1303,Kepler-178 d,111.8656,440.1,2014,3141.2708
1304,Kepler-179 b,46.3988,1138.2,2014,1965.0954
1305,Kepler-179 c,56.5684,857.4,2014,1965.0954
1309,Kepler-180 b,42.5852,848.6,2014,2848.751
1310,Kepler-180 c,85.4882,586.4,2014,2848.751
1311,Kepler-181 b,35.9114,1086.5,2014,2048.747
1312,Kepler-181 c,56.5684,978,2014,2048.747
1313,Kepler-182 b,73.094,1076.6,2014,4696.845
1314,Kepler-182 c,97.2468,840,2014,4696.845
1315,Kepler-183 b,58.4752,1112.7,2014,3560.9306
1316,Kepler-183 c,64.5134,876.5,2014,3560.9306
1317,Kepler-184 b,67.0558,846.1,2014,2373.1822
1318,Kepler-184 c,55.9328,683.2,2014,2373.1822
1319,Kepler-184 d,70.5516,606.5,2014,2373.1822
1320,Kepler-185 b,33.0512,1368.4,2014,1874.7282
1321,Kepler-185 c,57.204,586.6,2014,1874.7282
1322,Kepler-186 b,30.191,658.4,2014,492.26
1323,Kepler-186 c,35.2758,531.7,2014,492.26
1324,Kepler-186 d,39.725,434.2,2014,492.26
1325,Kepler-186 e,35.9114,365.3,2014,492.26
1326,Kepler-186 f,31.4622,201.3,2014,492.26
1327,Kepler-187 b,40.0428,1401.6,2014,3607.5486
1328,Kepler-187 c,75.6364,1085.2,2014,3607.5486
