Planet,Earth_Masses,Temperature_Kelvin,Year
HD 20868 b,638.4602,510.7,2008
HD 209458 b,218.9642,1446,1999
HD 210277 b,404.5594,337.2,1998
HD 210702 b,592.697,515.6,2007
HD 212771 b,858.06,482.8,2010
HD 215497 b,6.6738,1310.8,2009
HD 215497 c,104.2384,320.7,2009
HD 216437 b,688.9904,253.6,2002
HD 216536 b,470.6618,1287.4,2015
HD 216770 b,205.6166,497.5,2003
HD 217107 b,445.2378,1315.9,1998
HD 217107 c,831.047,209.9,2005
HD 217786 b,4190.8286,258.2,2010
HD 218566 b,67.6914,257.5,2010
HD 219828 b,19.7036,1516.5,2007
HD 220074 b,3555.5464,1196.1,2012
HD 220773 b,460.81,213.9,2012
HD 221287 b,989.947,297.6,2007
HD 222155 b,643.8628,172.9,2012
HD 224693 b,227.227,736.4,2006
HD 22781 b,4398.352,447.5,2011
HD 23079 b,776.3854,257.4,2001
HD 23127 b,446.509,299.2,2007
HD 231701 b,345.4486,471.6,2007
HD 23596 b,2460.7254,279.8,2002
HD 240210 b,2316.4442,807.3,2009
HD 24040 b,1278.1916,139.4,2006
HD 24064 b,3003.8456,1313,2015
HD 25171 b,303.8168,183.9,2010
HD 2638 b,151.5906,1282,2005
HD 27894 b,196.4004,756.3,2005
HD 28185 b,1842.2866,277.5,2001
HD 28254 b,368.9658,535.4,2009
HD 285507 b,291.4226,758,2013
HD 28678 b,603.82,585.8,2011
HD 290327 b,809.7544,150.5,2009
HD 2952 b,514.836,763.6,2013
HD 30177 b,3078.8464,169.8,2002
HD 30562 b,423.6274,450.4,2009
HD 30856 b,590.1546,421.6,2011
HD 31253 b,159.2178,392.5,2010
HD 32518 b,1063.041,1420,2009
HD 32963 b,222.46,139.8,2015
HD 330075 b,198.3072,1342.2,2004
HD 33142 b,448.4158,515.1,2011
HD 33283 b,104.874,1267.8,2006
HD 33844 b,622.888,462.9,2015
HD 33844 c,562.1882,386.3,2015
HD 34445 b,251.3798,270.4,2010
HD 3651 b,72.7762,705.2,2003
HD 37124 b,214.1972,328,1999
HD 37124 c,205.9344,190.5,2005
HD 37124 d,218.3286,151.8,2003
HD 37605 b,890.4756,831,2004
HD 37605 c,1069.7148,129.6,2012
HD 38283 b,107.4164,456.4,2011
